level,x,y,grid_w,grid_h,visits,traces_touching,trace_share,mean_step_frac,pauses,pauses_per_trace,pause_rate,mean_pause_ms,cohort
bonus1,8,0,10,10,328,328,1.0,0.5228,34,0.1037,0.1037,2471.8,top_solver
bonus1,8,1,10,10,335,328,1.0,0.5656,24,0.0732,0.0716,2497.2,top_solver
bonus1,8,2,10,10,329,328,1.0,0.5938,25,0.0762,0.076,2799.8,top_solver
bonus1,8,4,10,10,328,328,1.0,0.6737,50,0.1524,0.1524,1878.2,top_solver
bonus1,8,5,10,10,422,328,1.0,0.6523,99,0.3018,0.2346,3029.5,top_solver
bonus1,8,6,10,10,334,328,1.0,0.6638,116,0.3537,0.3473,3954.1,top_solver
bonus1,8,7,10,10,433,328,1.0,0.6356,67,0.2043,0.1547,3221.0,top_solver
bonus1,8,8,10,10,599,328,1.0,0.6632,52,0.1585,0.0868,2300.1,top_solver
bonus1,8,9,10,10,328,328,1.0,0.6749,29,0.0884,0.0884,2743.0,top_solver
bonus1,9,0,10,10,328,328,1.0,0.5282,76,0.2317,0.2317,7062.0,top_solver
bonus1,9,1,10,10,335,328,1.0,0.5331,76,0.2317,0.2269,3551.8,top_solver
bonus1,9,2,10,10,390,328,1.0,0.5662,80,0.2439,0.2051,3629.0,top_solver
bonus1,9,3,10,10,343,328,1.0,0.6428,67,0.2043,0.1953,5067.9,top_solver
bonus1,9,4,10,10,468,328,1.0,0.6337,70,0.2134,0.1496,4698.5,top_solver
bonus1,9,5,10,10,332,328,1.0,0.6592,61,0.186,0.1837,5144.8,top_solver
bonus1,9,6,10,10,336,328,1.0,0.6426,91,0.2774,0.2708,11422.2,top_solver
bonus1,9,7,10,10,331,328,1.0,0.6686,42,0.128,0.1269,4347.1,top_solver
bonus1,9,8,10,10,329,328,1.0,0.6711,48,0.1463,0.1459,2234.2,top_solver
bonus2,0,0,12,12,329,328,1.0,0.0,308,0.939,0.9362,44164.1,top_solver
bonus2,0,1,12,12,329,328,1.0,0.0238,86,0.2622,0.2614,5224.9,top_solver
bonus2,0,2,12,12,330,328,1.0,0.032,65,0.1982,0.197,3305.5,top_solver
bonus2,0,3,12,12,329,328,1.0,0.0714,178,0.5427,0.541,38641.6,top_solver
bonus2,0,4,12,12,331,328,1.0,0.0802,94,0.2866,0.284,6682.7,top_solver
bonus2,0,5,12,12,329,328,1.0,0.1332,59,0.1799,0.1793,2559.4,top_solver
bonus2,0,6,12,12,335,328,1.0,0.1419,47,0.1433,0.1403,4133.1,top_solver
bonus2,0,7,12,12,373,328,1.0,0.165,37,0.1128,0.0992,2625.1,top_solver
bonus2,0,8,12,12,328,328,1.0,0.1765,6,0.0183,0.0183,1404.7,top_solver
bonus2,0,9,12,12,330,328,1.0,0.1844,5,0.0152,0.0152,1949.8,top_solver
bonus2,0,10,12,12,331,328,1.0,0.1922,11,0.0335,0.0332,1412.2,top_solver
bonus2,0,11,12,12,331,328,1.0,0.2,50,0.1524,0.1511,3036.4,top_solver
bonus2,1,0,12,12,328,328,1.0,0.0361,50,0.1524,0.1524,1876.9,top_solver
bonus2,1,1,12,12,336,328,1.0,0.0437,45,0.1372,0.1339,1719.2,top_solver
bonus2,1,2,12,12,342,328,1.0,0.0925,16,0.0488,0.0468,1263.8,top_solver
bonus2,1,3,12,12,331,328,1.0,0.1155,18,0.0549,0.0544,1893.7,top_solver
bonus2,1,4,12,12,329,328,1.0,0.2005,31,0.0945,0.0942,4227.0,top_solver
bonus2,1,5,12,12,331,328,1.0,0.2356,44,0.1341,0.1329,2155.4,top_solver
bonus2,1,6,12,12,384,328,1.0,0.2089,40,0.122,0.1042,3387.7,top_solver
